Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Мороженое пломбир Чистая Линия Семейное ванильное 12%, 450г;329.99;0.0;1 шт;329.99;https://photos.okolo.app/product/1165968-main/320x320.jpeg
Пломбир Чистая Линия Московская лакомка 12%, 80г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1165967-main/320x320.jpeg
Эскимо Как Раньше пломбир ванильное, 80г;63.99;0.0;1 шт;63.99;https://photos.okolo.app/product/1165188-main/320x320.jpeg
Наггетсы Мираторг куриные с сыром, 300г;105.99;0.0;1 шт;105.99;https://photos.okolo.app/product/1164863-main/320x320.jpeg
Блины С Пылу с Жару с творогом, 360г;94.99;21;1 шт;119.99;https://photos.okolo.app/product/1164842-main/320x320.jpeg
Наггетсы Мираторг Хрустящие куриные, 300г;105.99;0.0;1 шт;105.99;https://photos.okolo.app/product/1164801-main/320x320.jpeg
Тесто Рестория слоёное бездрожжевое 500г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1164592-main/320x320.jpeg
Солянка Главсуп По-домашнему, 250г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1164303-main/320x320.jpeg
Суп Главсуп Борщ с курицей, 250г;115.99;0.0;1 шт;115.99;https://photos.okolo.app/product/1164302-main/320x320.jpeg
Фасоль Global Village стручковая замороженная, 400 г;145.99;0.0;1 шт;145.99;https://photos.okolo.app/product/1164207-main/320x320.jpeg
Капуста брокколи Global Village замороженная, 400 г;169.99;0.0;1 шт;169.99;https://photos.okolo.app/product/1164197-main/320x320.jpeg
Global Village Капуста цветная замороженная 400г;154.99;0.0;1 шт;154.99;https://photos.okolo.app/product/1164196-main/320x320.jpeg
Наггетсы Золотой петушок Традиционные из мяса цыплёнка, 300г;197.99;0.0;1 шт;197.99;https://photos.okolo.app/product/1163973-main/320x320.jpeg
Эскимо Айсберри пломбир в шоколадной глазури круглое, 80г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1163386-main/320x320.jpeg
Пломбир Петрохолод крем-брюле 15% 200г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1157897-main/320x320.jpeg
Тесто слоёное Морозко бездрожжевое, 1кг;309.99;0.0;1 шт;309.99;https://photos.okolo.app/product/1162008-main/320x320.jpeg
Лазанья мясная Золотой Петушок, 370г;99.99;46;1 шт;186.39;https://photos.okolo.app/product/1161384-main/320x320.jpeg
Мороженое пломбир Хладокомбинат №1 крем-брюле сахарная трубочка в шоколадной глазури, 70г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1161166-main/320x320.jpeg
Эскимо Чистая Линия Российское пломбир, 80г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1160948-main/320x320.jpeg
Мороженое сливочное Айсберри Ленинградское в шоколадной глазури, 80г;46.99;22;1 шт;59.99;https://photos.okolo.app/product/1160511-main/320x320.jpeg
Пицца Красная Цена Колбаса 300г;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1160432-main/320x320.jpeg
Котлеты Белорусские Сочные категория В, 560г;279.99;0.0;1 шт;279.99;https://photos.okolo.app/product/1159832-main/320x320.jpeg
Пломбир Сахарная Трубочка ванильный с шоколадной глазурью рожок 70г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1159476-main/320x320.jpeg
