Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Цикорий растворимый Большая чашка натуральный растворимый, 85г;209.99;30;1 шт;299.99;https://photos.okolo.app/product/1199122-main/320x320.jpeg
Изюм Mixbar Nature сушёный, 150г;74.99;17;1 шт;89.99;https://photos.okolo.app/product/1198980-main/320x320.jpeg
Миндаль Mixbar сладкий жареный, 100г;139.99;28;1 шт;194.99;https://photos.okolo.app/product/1198779-main/320x320.jpeg
Вермишель Домшим фунчоза, 200г;114.99;17;1 шт;137.99;https://photos.okolo.app/product/1198614-main/320x320.jpeg
Печенье Зерница Традиционное, 120г;29.99;0.0;1 шт;29.99;https://photos.okolo.app/product/1197841-main/320x320.jpeg
Конфеты ДаЁжъ с карамелью, арахисом и криспи;369.99;29;1 кг;519.99;https://photos.okolo.app/product/1197388-main/320x320.jpeg
Гель для стирки Ласка Эффект восстановления чёрного, 1л;279.99;32;1 шт;413.99;https://photos.okolo.app/product/1197199-main/320x320.jpeg
Сдобные палочки Шарлиз Снежка с абрикосовым джемом, 370г;94.99;21;1 шт;119.99;https://photos.okolo.app/product/1197114-main/320x320.jpeg
Сдобные палочки Шарлиз Снежка с малиновым джемом, 370г;94.99;21;1 шт;119.99;https://photos.okolo.app/product/1197113-main/320x320.jpeg
Средство чистящее Domestos свежесть Атлантики универсальное, 750мл;139.99;33;1 шт;209.99;https://photos.okolo.app/product/1196620-main/320x320.jpeg
Вермишель Роллтон По-домашнему с курицей, 85г;31.99;0.0;1 шт;31.99;https://photos.okolo.app/product/1195895-main/320x320.jpeg
Кетчуп Махеевъ Чили, 300г;69.99;19;1 шт;86.49;https://photos.okolo.app/product/1195462-main/320x320.jpeg
Зефир Шарлиз с ароматом ванили;359.99;13;1 кг;413.99;https://photos.okolo.app/product/1195137-main/320x320.jpeg
Гречка Селяночка ядрица быстроразваривающаяся, 5х80г;47.39;0.0;1 шт;47.39;https://photos.okolo.app/product/1195058-main/320x320.jpeg
Подушечки Ухтышки с какао, 250г;79.99;11;1 шт;89.99;https://photos.okolo.app/product/1194925-main/320x320.jpeg
Антиперспирант-дезодорант Rexona Нежно и сочно спрей 150мл;169.99;35;1 шт;262.99;https://photos.okolo.app/product/1194578-main/320x320.jpeg
Кофе Nescafé Gold растворимый 130г;299.99;44;1 шт;539.99;https://photos.okolo.app/product/1194546-main/320x320.jpeg
Мыло жидкое Aura антибактериальное с ромашкой, 500мл;79.99;27;1 шт;109.99;https://photos.okolo.app/product/1383715-main/320x320.jpeg
Икра из кабачков Global Village, 520г;71.99;13;1 шт;82.79;https://photos.okolo.app/product/1193489-main/320x320.jpeg
Крем-суп ФрутоНяня Овощной тыква-картофель-морковь с 6 месяцев 200мл;49.99;21;1 шт;62.99;https://photos.okolo.app/product/1193360-main/320x320.jpeg
Кукуруза Bonduelle Classique сладкая, 340г;114.99;18;1 шт;139.99;https://photos.okolo.app/product/1157176-main/320x320.jpeg
Кофе Fresco Doppio растворимый с добавлением молотого, 100г;249.99;46;1 шт;459.99;https://photos.okolo.app/product/1192232-main/320x320.jpeg
Сухой корм Purina ONE для кошек с курицей и цельными злаками, 750г;309.99;16;1 шт;369.99;https://photos.okolo.app/product/1192182-main/320x320.jpeg
Сухой шампунь Shamtu для всех типов волос 150мл;279.99;11;1 шт;314.99;https://photos.okolo.app/product/1192178-main/320x320.jpeg
Карамель Chupa Chups Мини ассорти вкусов клубники-яблока-апельсина-колы, кг;499.99;35;1 кг;769.99;https://photos.okolo.app/product/1191980-main/320x320.jpeg
Соус Heinz брусничный деликатесный 230г;129.99;24;1 шт;169.99;https://photos.okolo.app/product/1191768-main/320x320.jpeg
Средство для мытья посуды Synergetic алоэ биоразлагаемое, 500мл;119.99;20;1 шт;149.99;https://photos.okolo.app/product/1190600-main/320x320.jpeg
Подгузники Pampers Active Baby-Dry р.5 11-16кг, 60шт;1279.99;29;1 шт;1799.00;https://photos.okolo.app/product/1190313-main/320x320.jpeg
Шампунь TreSemmé Repair and Protect восстанавливающий 400мл;299.99;25;1 шт;399.99;https://photos.okolo.app/product/1190124-main/320x320.jpeg
Кусочки фруктовые ФрутоНяня Яблоко клубника банан с 12 месяцев 15г;36.99;20;1 шт;45.99;https://photos.okolo.app/product/1188525-main/320x320.jpeg
Фруктовые кусочки ФрутоНяня Яблоко Малина с 12 месяцев 15г;36.99;20;1 шт;45.99;https://photos.okolo.app/product/1188524-main/320x320.jpeg
Чай Азерчай Букет чёрный байховый в пакетиках, 100х2г;179.99;44;1 шт;319.99;https://photos.okolo.app/product/1187794-main/320x320.jpeg
Бальзам-ополаскиватель Garnier Fructis SOS восстановление 387мл;249.99;31;1 шт;359.99;https://photos.okolo.app/product/1187663-main/320x320.jpeg
Шарики Любятово Шоколадные 500г;169.99;15;1 шт;199.99;https://photos.okolo.app/product/1456887-main/320x320.jpeg
Кофе Nescafé Gold растворимый 190г;399.99;52;1 шт;839.99;https://photos.okolo.app/product/1187187-main/320x320.jpeg
